t,X_p,X_emb,S,H,H_b,R,I_emb,I_p,I,A,M,J,C_W_1,D_G_1,D_M_1,D_A_1,D_R_1,D_h_1,y_G,y_M,y_A,y_R,h_z,h_S
0.07048725306467384,0.00010696859829556523,1.6039515932093777e-6,3.727341994901602e-9,9.937677858531271e-10,4.968958967372823e-10,0.0,1.317038834252767e-8,0.0,1.317038834252767e-8,4.346228153034122e-9,1.0722422112363058e-10,1.6076467748772227e-11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
0.09728333939517574,0.00010964620142990478,1.5969024147295175e-6,4.845902452344858e-9,1.5215222108741989e-9,7.607794439479309e-10,0.0,2.0219568143774442e-8,0.0,2.0219568143774442e-8,6.672457487445563e-9,1.747453707661139e-10,3.2959966095928325e-11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
0.12408803411149426,0.00011232466469973215,1.5885686372028627e-6,6.1608416936505506e-9,2.14310948975616e-9,1.0715805084900032e-9,0.0,2.8553346679933873e-8,0.0,2.8553346679933873e-8,9.422604404378183e-9,2.6151136027122417e-10,5.760400371487778e-11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
0.15904514376479054,0.00011581775901016515,1.5756096359133424e-6,8.192182126165936e-9,3.1058487175253817e-9,1.5529615456399393e-9,0.0,4.151234777698482e-8,0.0,4.151234777698482e-8,1.3699074766405015e-8,4.0888450803664765e-10,1.03579980675766e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
0.19400225341808683,0.00011931085322038934,1.5600859525744736e-6,1.0607649770500078e-8,4.254382425194078e-9,2.127241904481811e-9,0.0,5.703603039174398e-8,0.0,5.703603039174398e-8,1.882189002927555e-8,6.020657153403429e-10,1.6813267122603679e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
0.22895936307138312,0.00012280394749284836,1.541787438212373e-6,1.3433938449853472e-8,5.6029956095143654e-9,2.801564183254117e-9,0.0,7.533454436039161e-8,0.0,7.533454436039161e-8,2.4860399638929274e-8,8.492564250091863e-10,2.546623606660814e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
0.2639164727246794,0.000126297041837801,1.5205088544577637e-6,1.669633627316707e-8,7.165476079715529e-9,3.5828223607949334e-9,0.0,9.661312810646443e-8,0.0,9.661312810646443e-8,3.1882332275133295e-8,1.1591937101583964e-9,3.668165629483236e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
0.2988735823779757,0.00012979013620506067,1.496049784592718e-6,2.04187717479541e-8,8.955125654103452e-9,4.477667392221059e-9,0.0,1.210721980813596e-7,0.0,1.210721980813596e-7,3.9953825366848694e-8,1.541121436355928e-9,5.084812346672288e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
0.33383069203127197,0.0001332832305626142,1.4682145487846005e-6,2.46238574563038e-8,1.0984770835528018e-8,5.492512544015303e-9,0.0,1.489074339477629e-7,0.0,1.489074339477629e-7,4.913945320276177e-8,2.004763021625329e-9,6.837723834721315e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
0.39444346877834596,0.00013933997115859318,1.4113873120653948e-6,3.312138243262527e-8,1.5109064931011404e-8,7.554704128185513e-9,0.0,2.0573467026749208e-7,0.0,2.0573467026749208e-7,6.78924411882724e-8,3.032615849233556e-9,1.0803285428714717e-9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
0.4771898516444766,0.00014760841558505156,1.3147604303034234e-6,4.735108286809034e-8,2.207411589942617e-8,1.1037300818867086e-8,0.0,3.023615514660942e-7,0.0,3.023615514660942e-7,9.977931198381091e-8,4.984216149315445e-9,1.850109372694285e-9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
0.5599362345106071,0.0001558768600868191,1.19402934900106e-6,6.482286170432473e-8,3.07102405396048e-8,1.5355444391978466e-8,0.0,4.2309263260501327e-7,0.0,4.2309263260501327e-7,1.3962056875965409e-7,7.708806533797342e-9,2.944733726005529e-9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
0.6426826173767377,0.0001641453046592126,1.0469964638148775e-6,8.573263607558203e-8,4.1148370890876575e-8,2.0574597295811812e-8,0.0,5.701255180024965e-7,0.0,5.701255180024965e-7,1.8814142094082353e-7,1.1369574221442781e-8,4.436665088561672e-9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
0.7254290002428683,0.00017241374922788086,8.715921880610856e-7,1.102452394675496e-7,5.350710170663201e-8,2.675405163251858e-8,0.0,7.455297939476028e-7,0.0,7.455297939476028e-7,2.460248320027087e-7,1.61384986521462e-8,6.403566940301478e-9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
0.8081753831089988,0.00018068219375872861,6.658696643748328e-7,1.384968711447863e-7,6.789334192533388e-8,3.3947254701104464e-8,0.0,9.51252317624363e-7,0.0,9.51252317624363e-7,3.139132648160396e-7,2.2194904309529986e-8,8.927804358156792e-9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
0.8909217659751294,0.00018895063827418466,4.279996634461449e-7,1.7059740057046808e-7,8.440293988071632e-8,4.2202121421973655e-8,0.0,1.1891223184619263e-6,0.0,1.1891223184619263e-6,3.924103650924355e-7,2.9724118950475006e-8,1.2095969595310681e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
